SESS001,B004,U003,ST008,1744400000,1744407200,28.5,1425.00,Fleet
SESS002,B006,U002,ST003,1744412000,1744416500,12.8,384.00,Premium
SESS003,B007,U005,ST006,1744423000,1744426500,45.2,1356.00,Premium
SESS004,B008,U001,ST001,1744431000,1744434600,6.5,195.00,Regular
SESS005,B009,U007,ST004,1744440000,1744443000,8.2,246.00,Regular
SESSION,B6,U001,ST001,1779889326,1779889355,0,32.4,Regular
SESSION,B6,U001,ST001,1779889428,1779889450,0,32.4,Regular
SESSION,B9,U001,ST002,1779904491,1779904508,0,0,Regular
SESSION,B11,U001,ST006,1779905934,1779905944,10,0,Regular
SESSION,B12,U420,ST006,1779906067,1779906088,30,0,Fleet
SESSION,B13,U420,ST008,1779907652,1779907675,0.159722,0,Fleet
SESSION,B15,U420,ST008,1779908487,1779908499,0.0833333,6.375,Fleet
